group,pk,sk,exchange,attack,guesses,cardinality
S16,2,4,1247.1708,0.4141,123,20922789888000
S16,2,4,219.1814,0.1447,59,20922789888000
S16,2,4,197.5998,0.2814,126,20922789888000
S16,2,4,192.2757,0.2647,113,20922789888000
S16,2,4,171.833,0.231,84,20922789888000
S16,2,4,158.138,1.0335,299,20922789888000
S16,2,4,133.3528,0.192,82,20922789888000
S16,2,4,124.91,0.0528,14,20922789888000
S16,2,4,118.2349,0.4022,130,20922789888000
S16,2,4,127.1657,0.5108,202,20922789888000
S16,2,4,114.6254,0.5015,222,20922789888000
S16,2,4,119.7714,0.2033,86,20922789888000
S16,2,4,123.5735,0.4406,203,20922789888000
S16,2,4,129.826,0.4099,168,20922789888000
S16,2,4,161.2181,0.8039,236,20922789888000
S16,2,4,153.411,0.2172,58,20922789888000
S16,2,4,145.0332,0.4218,117,20922789888000
S16,2,4,115.6713,0.6316,216,20922789888000
S16,2,4,129.2948,0.3724,146,20922789888000
S16,2,4,124.0262,0.0967,21,20922789888000
S16,2,4,120.0137,0.559,267,20922789888000
S16,2,4,113.5221,0.2153,59,20922789888000
S16,2,4,117.9219,0.4106,107,20922789888000
S16,2,4,117.3448,0.5971,268,20922789888000
S16,2,4,114.5849,0.5494,238,20922789888000
S16,8,2,453.5227,0.5356,296,20922789888000
S16,8,2,472.2856,0.6375,366,20922789888000
S16,8,2,491.313,0.4699,193,20922789888000
S16,8,2,439.0535,0.5231,292,20922789888000
S16,8,2,517.8483,0.5233,244,20922789888000
S16,8,2,518.5462,0.727,339,20922789888000
S16,8,2,509.5441,0.4979,275,20922789888000
S16,8,2,480.3591,0.5713,239,20922789888000
S16,8,2,424.2161,0.1156,46,20922789888000
S16,8,2,456.8246,0.4473,249,20922789888000
S16,8,2,485.0595,0.2454,72,20922789888000
S16,8,2,470.1507,0.5069,284,20922789888000
S16,8,2,462.5627,0.7076,409,20922789888000
S16,8,2,470.7749,0.5594,316,20922789888000
S16,8,2,476.7769,0.488,277,20922789888000
S16,8,2,462.2049,0.4031,192,20922789888000
S16,8,2,458.264,0.4034,222,20922789888000
S16,8,2,425.3155,0.3285,176,20922789888000
S16,8,2,483.17,1.1732,440,20922789888000
S16,8,2,448.5073,0.4974,239,20922789888000
S16,8,2,446.6237,0.5535,318,20922789888000
S16,8,2,437.3498,0.498,238,20922789888000
S16,8,2,424.0671,0.8371,466,20922789888000
S16,8,2,497.2434,0.7255,311,20922789888000
S16,8,2,452.0605,0.9412,448,20922789888000
S16,2,6,104.2134,0.692,213,20922789888000
S16,2,6,118.0716,15.4452,4451,20922789888000
S16,2,6,121.4728,10.4512,3180,20922789888000
S16,2,6,124.4224,1.9386,766,20922789888000
S16,2,6,116.7606,0.2973,80,20922789888000
S16,2,6,107.027,0.6505,219,20922789888000
S16,2,6,120.4036,0.7806,222,20922789888000
S16,2,6,108.4375,2.8648,793,20922789888000
S16,2,6,110.6057,0.5884,230,20922789888000
S16,2,6,117.5846,3.2704,1285,20922789888000
S16,2,6,123.8357,5.531,1433,20922789888000
S16,2,6,123.5082,0.1701,55,20922789888000
S16,2,6,119.9935,9.2077,3757,20922789888000
S16,2,6,103.3386,2.05,770,20922789888000
S16,2,6,119.3639,0.5862,189,20922789888000
S16,2,6,108.0422,3.1642,1212,20922789888000
S16,2,6,105.6269,2.2889,780,20922789888000
S16,2,6,122.4649,3.3976,1223,20922789888000
S16,2,6,132.531,3.4801,1110,20922789888000
S16,2,6,121.7485,14.6374,4348,20922789888000
S16,2,6,116.3706,1.702,671,20922789888000
S16,2,6,109.1095,12.0919,3705,20922789888000
S16,2,6,127.06,13.9233,3734,20922789888000
S16,2,6,111.9599,0.6055,218,20922789888000
S16,2,6,110.1102,8.8018,2550,20922789888000
S16,8,3,482.419,8.5088,3930,20922789888000
S16,8,3,480.9731,2.6835,1159,20922789888000
S16,8,3,450.0866,7.1916,3840,20922789888000
S16,8,3,466.9458,15.0288,6330,20922789888000
S16,8,3,431.5002,11.7253,6404,20922789888000
S16,8,3,469.6433,6.3875,3381,20922789888000
S16,8,3,468.3847,7.1994,3974,20922789888000
S16,8,3,428.7267,5.4801,2864,20922789888000
S16,8,3,468.6514,3.3751,1357,20922789888000
S16,8,3,477.7532,7.5842,3142,20922789888000
S16,8,3,459.055,8.0574,4171,20922789888000
S16,8,3,430.3863,5.5491,3107,20922789888000
