group,pk,sk,exchange,attack,cardinality
s3,6,1,803812,20,6
s3,6,1,200131,14,6
s3,6,1,172961,13,6
s3,6,1,257667,13,6
s3,6,1,329754,15,6
s3,6,1,183980,13,6
s3,6,1,183222,14,6
s3,6,1,235452,14,6
s3,6,1,148152,17,6
s3,6,1,211069,13,6
s3,6,1,241782,14,6
s3,6,1,257038,14,6
s3,6,1,246871,13,6
s3,6,1,187029,13,6
s3,6,1,400361,13,6
s3,6,1,155621,14,6
s3,6,1,207326,13,6
s3,6,1,107677,14,6
s3,6,1,234511,13,6
s3,6,1,126101,14,6
s3,6,1,154023,14,6
s3,6,1,133541,13,6
s3,6,1,155486,15,6
s3,6,1,177788,14,6
s3,6,1,287466,12,6
s3,6,2,163322,15,6
s3,6,2,167446,17,6
s3,6,2,270300,17,6
s3,6,2,177562,13,6
s3,6,2,262779,15,6
s3,6,2,211837,16,6
s3,6,2,188085,23,6
s3,6,2,291223,21,6
s3,6,2,120404,16,6
s3,6,2,238537,13,6
s3,6,2,214936,17,6
s3,6,2,132233,17,6
s3,6,2,236173,14,6
s3,6,2,184467,18,6
s3,6,2,223657,17,6
s3,6,2,167496,13,6
s3,6,2,181747,15,6
s3,6,2,209849,15,6
s3,6,2,237440,14,6
s3,6,2,168663,17,6
s3,6,2,300585,16,6
s3,6,2,155139,18,6
s3,6,2,439953,11,6
s3,6,2,146110,13,6
s3,6,2,336548,16,6
s3,6,3,132109,13,6
s3,6,3,155207,24,6
s3,6,3,178060,16,6
s3,6,3,299938,14,6
s3,6,3,332203,20,6
s3,6,3,310658,15,6
s3,6,3,196623,21,6
s3,6,3,177276,15,6
s3,6,3,173573,20,6
s3,6,3,260607,15,6
s3,6,3,208816,21,6
s3,6,3,222508,15,6
s3,6,3,221618,19,6
s3,6,3,216995,16,6
s3,6,3,163071,17,6
s3,6,3,211770,14,6
s3,6,3,237041,16,6
s3,6,3,242397,23,6
s3,6,3,205391,18,6
s3,6,3,241741,18,6
s3,6,3,243790,15,6
s3,6,3,99134,12,6
s3,6,3,378298,16,6
s3,6,3,141847,17,6
s3,6,3,201772,20,6
s3,6,4,327142,18,6
s3,6,4,120069,16,6
s3,6,4,168476,17,6
s3,6,4,337636,12,6
s3,6,4,280892,24,6
s3,6,4,267872,14,6
s3,6,4,192379,23,6
s3,6,4,148358,20,6
s3,6,4,192118,18,6
s3,6,4,253434,16,6
s3,6,4,218686,19,6
s3,6,4,147620,17,6
s3,6,4,299324,17,6
s3,6,4,228610,17,6
s3,6,4,200781,18,6
s3,6,4,136206,17,6
s3,6,4,260229,18,6
s3,6,4,268690,17,6
s3,6,4,308682,18,6
s3,6,4,191438,18,6
s3,6,4,182556,20,6
s3,6,4,293713,21,6
s3,6,4,214780,11,6
s3,6,4,207428,21,6
s3,6,4,124637,14,6
s3,6,5,113605,19,6
s3,6,5,242592,16,6
s3,6,5,155399,17,6
s3,6,5,156046,16,6
s3,6,5,229910,19,6
s3,6,5,248557,16,6
s3,6,5,156969,16,6
s3,6,5,310315,15,6
s3,6,5,184430,16,6
s3,6,5,174478,17,6
s3,6,5,160010,16,6
s3,6,5,136601,19,6
s3,6,5,252558,15,6
s3,6,5,138070,20,6
s3,6,5,224014,16,6
s3,6,5,126426,18,6
s3,6,5,194972,17,6
s3,6,5,258149,19,6
s3,6,5,134761,16,6
s3,6,5,221533,13,6
s3,6,5,225798,16,6
s3,6,5,219292,14,6
s3,6,5,295587,16,6
s3,6,5,179631,18,6
s3,6,5,205478,21,6
s4,6,1,105425,23,24
s4,6,1,86506,18,24
s4,6,1,95259,19,24
s4,6,1,98403,15,24
s4,6,1,97013,18,24
s4,6,1,106419,18,24
s4,6,1,111281,13,24
s4,6,1,112494,16,24
s4,6,1,110506,16,24
s4,6,1,120074,17,24
s4,6,1,103533,16,24
s4,6,1,90981,19,24
s4,6,1,107994,23,24
s4,6,1,113573,15,24
s4,6,1,87781,13,24
s4,6,1,87734,19,24
s4,6,1,91356,17,24
s4,6,1,101525,15,24
s4,6,1,104505,15,24
s4,6,1,103465,15,24
s4,6,1,105454,17,24
s4,6,1,94739,17,24
s4,6,1,127258,19,24
s4,6,1,95437,13,24
s4,6,1,88180,17,24
s4,6,2,95009,22,24
s4,6,2,92762,32,24
s4,6,2,97406,55,24
s4,6,2,103352,21,24
s4,6,2,106506,33,24
s4,6,2,104105,29,24
s4,6,2,111461,27,24
s4,6,2,112524,21,24
s4,6,2,98940,43,24
s4,6,2,103458,11,24
s4,6,2,91262,54,24
s4,6,2,96567,32,24
s4,6,2,106455,37,24
s4,6,2,117759,17,24
s4,6,2,114491,17,24
s4,6,2,105156,17,24
s4,6,2,90010,34,24
s4,6,2,102635,56,24
s4,6,2,89318,37,24
s4,6,2,99244,32,24
s4,6,2,102442,16,24
s4,6,2,90803,34,24
s4,6,2,96733,23,24
s4,6,2,104007,20,24
s4,6,2,95950,24,24
s4,6,3,104137,25,24
s4,6,3,91301,35,24
s4,6,3,99280,61,24
s4,6,3,97281,71,24
s4,6,3,96958,21,24
s4,6,3,97182,25,24
s4,6,3,104389,30,24
s4,6,3,90787,46,24
s4,6,3,104195,42,24
s4,6,3,98655,44,24
s4,6,3,90465,24,24
s4,6,3,112474,23,24
s4,6,3,89430,66,24
s4,6,3,98255,20,24
s4,6,3,95912,48,24
s4,6,3,105126,32,24
s4,6,3,89245,31,24
s4,6,3,105946,46,24
s4,6,3,102757,160,24
s4,6,3,102913,24,24
s4,6,3,97339,41,24
s4,6,3,96412,17,24
s4,6,3,95820,35,24
s4,6,3,90749,45,24
s4,6,3,90070,60,24
s4,6,4,112024,33,24
s4,6,4,97837,69,24
s4,6,4,105271,44,24
s4,6,4,112864,44,24
s4,6,4,108712,22,24
s4,6,4,96835,63,24
s4,6,4,94791,34,24
s4,6,4,111874,17,24
s4,6,4,104489,21,24
s4,6,4,90085,39,24
s4,6,4,95647,31,24
s4,6,4,98053,37,24
s4,6,4,102400,86,24
s4,6,4,98632,45,24
s4,6,4,88166,34,24
s4,6,4,106666,34,24
s4,6,4,89284,24,24
s4,6,4,99263,38,24
s4,6,4,92697,65,24
s4,6,4,128610,37,24
s4,6,4,87101,47,24
s4,6,4,103556,63,24
s4,6,4,107192,39,24
s4,6,4,91067,54,24
s4,6,4,126987,14,24
s4,6,5,89863,52,24
s4,6,5,118451,146,24
s4,6,5,110664,33,24
s4,6,5,117091,25,24
s4,6,5,105068,48,24
s4,6,5,102571,89,24
s4,6,5,107749,24,24
s4,6,5,98779,42,24
s4,6,5,95763,130,24
s4,6,5,99729,42,24
s4,6,5,105676,40,24
s4,6,5,102862,22,24
