group,pk,sk,exchange,attack
cube,2,1,688867,13
cube,2,1,49248,9
cube,2,1,49970,8
cube,2,1,74295,10
cube,2,1,50202,9
cube,2,1,49248,9
cube,2,1,55448,9
cube,2,1,50272,9
cube,2,1,49612,8
cube,2,1,50271,12
cube,2,1,62529,9
cube,2,1,50006,10
cube,2,1,50517,7
cube,2,1,46081,11
cube,2,1,49698,10
cube,2,1,49796,10
cube,2,1,50264,9
cube,2,1,49111,7
cube,2,1,49364,7
cube,2,1,50814,12
cube,2,1,50312,17
cube,2,1,50500,10
cube,2,1,50764,9
cube,2,1,49544,7
cube,2,1,50233,10
cube,3,1,71816,13
cube,3,1,74292,9
cube,3,1,74695,15
cube,3,1,74145,17
cube,3,1,75212,11
cube,3,1,74768,10
cube,3,1,86781,11
cube,3,1,71206,9
cube,3,1,76400,13
cube,3,1,74300,10
cube,3,1,75502,9
cube,3,1,71581,8
cube,3,1,74667,12
cube,3,1,74498,11
cube,3,1,74194,11
cube,3,1,70533,12
cube,3,1,74655,11
cube,3,1,86209,9
cube,3,1,74453,13
cube,3,1,73944,9
cube,3,1,70601,10
cube,3,1,73678,11
cube,3,1,75084,11
cube,3,1,86156,8
cube,3,1,74202,12
cube,3,2,74046,20
cube,3,2,72754,10
cube,3,2,86638,22
cube,3,2,73752,31
cube,3,2,73945,14
cube,3,2,70477,15
cube,3,2,74447,17
cube,3,2,74337,26
cube,3,2,70603,18
cube,3,2,86065,22
cube,3,2,73814,21
cube,3,2,73998,17
cube,3,2,74068,22
cube,3,2,72902,19
cube,3,2,74279,16
cube,3,2,73396,38
cube,3,2,86482,12
cube,3,2,70048,17
cube,3,2,74870,20
cube,3,2,75882,12
cube,3,2,70362,13
cube,3,2,74418,12
cube,3,2,70338,15
cube,3,2,70877,19
cube,3,2,74001,18
cube,4,1,98292,14
cube,4,1,97668,14
cube,4,1,98538,12
cube,4,1,94524,14
cube,4,1,98518,15
cube,4,1,97934,9
cube,4,1,99349,15
cube,4,1,123275,12
cube,4,1,111837,12
cube,4,1,99110,16
cube,4,1,97796,11
cube,4,1,98706,14
cube,4,1,110213,11
cube,4,1,107503,13
cube,4,1,111265,13
cube,4,1,99692,14
cube,4,1,122809,15
cube,4,1,95510,14
cube,4,1,119115,14
cube,4,1,99206,13
cube,4,1,98195,12
cube,4,1,119845,12
cube,4,1,106758,14
cube,4,1,94776,14
cube,4,1,98375,16
cube,4,2,131926,15
cube,4,2,107023,32
cube,4,2,101201,13
cube,4,2,98519,20
cube,4,2,98425,27
cube,4,2,123917,16
cube,4,2,95379,31
cube,4,2,110302,24
cube,4,2,136347,50
cube,4,2,95547,42
cube,4,2,94954,39
cube,4,2,111937,21
cube,4,2,109849,36
cube,4,2,134429,17
cube,4,2,99885,15
cube,4,2,99721,22
cube,4,2,117103,16
cube,4,2,122100,21
cube,4,2,97077,12
cube,4,2,100218,12
cube,4,2,97024,46
cube,4,2,112869,24
cube,4,2,102318,20
cube,4,2,98155,27
cube,4,2,112426,22
cube,4,3,101704,29
cube,4,3,125863,30
cube,4,3,111306,20
cube,4,3,121806,34
cube,4,3,103609,16
cube,4,3,115555,18
cube,4,3,110161,17
cube,4,3,103488,20
cube,4,3,99063,16
cube,4,3,102818,14
cube,4,3,104601,17
cube,4,3,106524,37
cube,4,3,116208,44
cube,4,3,130685,49
cube,4,3,114757,11
cube,4,3,100650,47
cube,4,3,115233,26
cube,4,3,107728,21
cube,4,3,103225,17
cube,4,3,115334,23
cube,4,3,98043,20
cube,4,3,98483,28
cube,4,3,110146,48
cube,4,3,128736,41
cube,4,3,122307,27
s16,2,1,69974,14
s16,2,1,63240,13
s16,2,1,65730,12
s16,2,1,65232,13
s16,2,1,65300,10
s16,2,1,67197,11
s16,2,1,63330,9
s16,2,1,65648,12
s16,2,1,65020,11
s16,2,1,64913,12
s16,2,1,64480,14
s16,2,1,64126,10
s16,2,1,64883,10
s16,2,1,64224,11
s16,2,1,64406,13
s16,2,1,64241,11
s16,2,1,64864,13
s16,2,1,63984,8
s16,2,1,64629,13
s16,2,1,64167,10
s16,2,1,64329,15
s16,2,1,64236,9
s16,2,1,63561,11
s16,2,1,63487,11
s16,2,1,64246,12
s16,3,1,96493,18
s16,3,1,98063,17
s16,3,1,96829,16
s16,3,1,95189,13
s16,3,1,98378,14
s16,3,1,96283,13
s16,3,1,96291,15
s16,3,1,98817,19
s16,3,1,95358,13
s16,3,1,96519,18
s16,3,1,96593,14
s16,3,1,96778,11
s16,3,1,97587,16
s16,3,1,96429,17
s16,3,1,97014,18
s16,3,1,96466,14
s16,3,1,96909,13
s16,3,1,96463,15
s16,3,1,96674,13
s16,3,1,95651,15
s16,3,1,96723,21
s16,3,1,96027,13
s16,3,1,97140,13
s16,3,1,96173,16
s16,3,1,98691,21
s16,3,2,98779,39
s16,3,2,97167,22
s16,3,2,97877,32
s16,3,2,95630,37
s16,3,2,96883,33
s16,3,2,100255,38
s16,3,2,103166,46
s16,3,2,106408,21
