pk,sk,exchange,attack
2,1,360048,14
2,1,59557,13
2,1,49902,11
2,1,47201,9
2,1,47418,13
2,1,46677,11
2,1,47116,12
2,1,47177,9
2,1,46717,9
2,1,46847,10
2,1,46655,11
2,1,46472,9
2,1,46687,14
2,1,46281,9
2,1,46597,9
2,1,47135,11
2,1,46525,11
2,1,46489,10
2,1,46799,11
2,1,46303,9
2,1,46495,10
2,1,47156,9
2,1,45757,9
2,1,46633,10
2,1,46508,10
2,1,46518,10
2,1,46590,9
2,1,50235,9
2,1,46768,9
2,1,45746,10
2,1,46005,10
2,1,46623,10
2,1,46517,8
2,1,47282,10
2,1,46470,9
2,1,46110,9
2,1,47067,10
2,1,46251,10
2,1,46539,10
2,1,46610,9
2,1,46013,8
2,1,46142,9
2,1,46511,10
2,1,46426,8
2,1,46341,8
2,1,46802,9
2,1,46630,10
2,1,46630,10
2,1,46488,9
2,1,46222,11
2,1,46288,9
2,1,46740,9
2,1,46070,9
2,1,46410,11
2,1,46969,9
2,1,46284,10
2,1,46705,10
2,1,46647,11
2,1,48984,11
2,1,46313,10
2,1,46925,10
2,1,47114,9
2,1,46746,9
2,1,46805,10
2,1,46304,9
2,1,47040,7
2,1,47638,10
2,1,47123,10
2,1,46440,9
2,1,47703,11
2,1,46882,10
2,1,46555,8
2,1,47287,10
2,1,47154,9
2,1,45789,9
2,1,47125,11
2,1,47469,8
2,1,46450,10
2,1,46593,10
2,1,46692,11
2,1,46938,9
2,1,47330,10
2,1,46863,10
2,1,46706,9
2,1,47327,11
2,1,47471,8
2,1,46790,11
2,1,47791,11
2,1,46955,9
2,1,49397,10
2,1,46803,10
2,1,46761,10
2,1,46389,8
2,1,46239,10
2,1,46629,10
2,1,47564,8
2,1,47274,10
2,1,46125,9
2,1,47012,12
2,1,46898,10
3,1,70166,14
3,1,70051,14
3,1,70875,14
3,1,70353,12
3,1,70331,12
3,1,69889,9
3,1,70233,12
3,1,70197,11
3,1,71100,11
3,1,70379,12
3,1,69952,12
3,1,70312,11
3,1,70218,13
3,1,72421,12
3,1,70434,10
3,1,69727,11
3,1,69295,14
3,1,70024,14
3,1,69987,15
3,1,70262,11
3,1,70119,16
3,1,68901,11
3,1,70351,14
3,1,69623,13
3,1,71393,15
3,1,69696,11
3,1,69707,13
3,1,72200,13
3,1,80386,17
3,1,73465,15
3,1,72668,13
3,1,72916,13
3,1,71935,13
3,1,70841,17
3,1,79158,16
3,1,91589,14
3,1,70953,19
3,1,70017,15
3,1,71741,13
3,1,70045,10
3,1,70888,12
3,1,70662,12
3,1,70636,14
3,1,70918,11
3,1,70521,12
3,1,69904,10
3,1,69815,12
3,1,69142,14
3,1,70026,13
3,1,69850,11
3,1,69950,14
3,1,70529,11
3,1,69847,10
3,1,70932,9
3,1,70385,13
3,1,72879,15
3,1,70383,15
3,1,69529,10
3,1,69940,13
3,1,69644,12
3,1,70277,11
3,1,70015,27
3,1,71636,12
3,1,71065,13
3,1,70716,13
3,1,69962,11
3,1,70377,14
3,1,69162,15
3,1,70269,11
3,1,69901,13
3,1,76737,13
3,1,72818,18
3,1,70983,17
3,1,69285,11
3,1,69637,11
3,1,70233,12
3,1,73349,15
3,1,70246,15
3,1,70383,15
3,1,70430,12
3,1,70030,17
3,1,70197,12
3,1,70286,13
3,1,70313,12
3,1,82473,17
3,1,73934,16
3,1,74470,15
3,1,74245,15
3,1,72837,16
3,1,73625,10
3,1,73826,13
3,1,72081,15
3,1,72504,17
3,1,75371,12
3,1,73728,15
3,1,72456,15
3,1,77019,14
3,1,72783,13
3,1,78369,13
3,1,77942,11
3,2,73826,44
3,2,72531,46
3,2,73099,56
3,2,74172,14
3,2,70292,14
3,2,71138,45
3,2,72654,24
3,2,71529,43
3,2,71194,15
3,2,69448,25
3,2,70025,21
3,2,70664,38
3,2,71300,39
3,2,72065,29
3,2,72055,23
3,2,72933,29
3,2,73141,33
3,2,76189,53
3,2,70627,59
3,2,70413,13
3,2,75773,55
3,2,77097,18
3,2,76633,25
3,2,79651,26
3,2,75225,33
3,2,72943,19
3,2,91700,37
3,2,74558,28
3,2,76178,51
3,2,75100,26
3,2,75998,15
3,2,73971,41
3,2,73314,43
3,2,73891,27
3,2,72838,40
3,2,72009,13
3,2,70971,17
3,2,71152,23
3,2,78112,42
3,2,72946,36
3,2,72361,30
3,2,70368,32
3,2,70228,20
3,2,75396,22
3,2,92256,24
3,2,75951,49
3,2,75082,29
3,2,72486,41
3,2,71333,42
3,2,71293,35
3,2,70766,37
3,2,70739,25
3,2,71180,20
3,2,71420,28
3,2,73910,40
3,2,75083,23
3,2,74745,34
3,2,71237,31
3,2,73870,28
3,2,70474,36
3,2,69906,35
3,2,69886,26
3,2,70882,10
3,2,71632,39
3,2,70304,25
3,2,70619,16
3,2,70559,37
3,2,73300,16
3,2,72291,33
3,2,70980,45
3,2,71434,36
3,2,72130,23
3,2,71963,28
3,2,70950,14
3,2,71957,25
3,2,71294,25
3,2,72543,25
3,2,71249,43
3,2,71764,41
3,2,72858,35
3,2,76831,25
3,2,74311,25
3,2,73915,40
3,2,73727,39
3,2,72924,46
3,2,72298,31
3,2,74889,38
3,2,77659,23
3,2,75288,55
3,2,92361,27
3,2,76030,21
3,2,75697,15
3,2,76536,34
3,2,76686,17
3,2,75090,40
3,2,75006,30
3,2,75042,38
3,2,74884,26
3,2,73985,34
3,2,73262,27
4,1,98913,20
4,1,97382,14
4,1,102506,13
4,1,100419,16
4,1,99121,17
4,1,94675,15
4,1,94147,18
4,1,94690,14
4,1,94524,18
4,1,98636,19
4,1,102315,17
4,1,96516,18
4,1,93911,15
4,1,93089,19
4,1,93806,17
4,1,98380,18
4,1,103860,15
4,1,104489,17
4,1,102003,14
4,1,94409,17
4,1,98455,18
4,1,98730,17
4,1,106456,20
4,1,103464,16
4,1,99334,15
4,1,97678,16
4,1,97246,21
4,1,100374,17
4,1,99046,15
4,1,95528,18
4,1,96738,22
4,1,98830,17
4,1,98525,16
4,1,95408,35
4,1,97084,19
4,1,96128,22
4,1,92963,18
4,1,94347,16
4,1,93681,14
4,1,105539,20
4,1,103280,15
4,1,104198,18
4,1,107114,18
4,1,101965,19
4,1,107655,16
4,1,126749,18
4,1,107786,14
4,1,97147,17
4,1,97623,20
4,1,96169,17
4,1,94631,13
4,1,97681,16
4,1,108083,17
4,1,106825,19
4,1,108999,18
4,1,102069,18
4,1,100845,18
4,1,98070,17
4,1,97382,18
4,1,98402,16
4,1,100077,19
4,1,99023,16
4,1,99713,17
4,1,98771,17
4,1,97593,19
4,1,99318,19
4,1,95986,14
4,1,94652,22
4,1,103691,18
4,1,96517,20
4,1,97383,20
4,1,100216,17
4,1,94353,12
4,1,100100,15
4,1,109301,20
4,1,107953,17
4,1,130603,17
4,1,116753,18
4,1,103916,20
4,1,102466,16
4,1,98574,19
4,1,94281,20
4,1,95941,15
4,1,94818,21
4,1,99351,17
4,1,107046,16
4,1,98139,19
4,1,99235,20
4,1,94681,18
4,1,94087,13
4,1,105988,15
4,1,106747,19
4,1,109909,17
4,1,110682,16
4,1,112974,19
4,1,100987,15
4,1,104448,15
4,1,99256,17
4,1,101017,17
4,1,108697,20
4,2,134097,98
4,2,101945,45
4,2,106589,54
4,2,104973,46
4,2,104060,53
4,2,105248,19
4,2,102948,93
4,2,101698,72
4,2,99420,84
4,2,96979,60
4,2,101242,73
4,2,104000,56
4,2,106416,31
4,2,108009,62
4,2,106657,50
4,2,95693,21
4,2,93343,50
4,2,95017,77
4,2,91822,49
4,2,92434,31
4,2,92901,45
4,2,92841,96
4,2,94287,61
4,2,105278,52
4,2,96883,73
4,2,95069,58
4,2,94048,23
4,2,94197,26
4,2,92259,80
4,2,94354,45
4,2,92762,17
4,2,94688,62
4,2,95383,43
4,2,92132,72
4,2,95662,53
4,2,96593,83
4,2,92918,51
4,2,96708,63
4,2,96025,78
4,2,98899,51
4,2,92380,51
4,2,94009,94
4,2,96236,60
4,2,99804,87
4,2,95997,47
4,2,91657,91
4,2,91891,53
4,2,103285,79
4,2,106376,52
4,2,104304,78
4,2,101370,47
4,2,92259,91
4,2,93407,51
4,2,98460,84
4,2,102671,67
4,2,101505,50
4,2,91628,52
4,2,92256,101
4,2,91791,38
4,2,94462,74
4,2,93252,50
4,2,95721,81
4,2,94697,78
4,2,95499,43
4,2,91563,44
4,2,92255,28
4,2,94721,63
4,2,104105,44
4,2,104965,32
4,2,108262,28
4,2,110751,25
4,2,99602,66
4,2,97229,105
4,2,94221,45
4,2,92582,56
4,2,93769,74
4,2,91963,82
4,2,93655,34
4,2,94894,18
4,2,97246,19
4,2,93561,36
4,2,94424,94
4,2,91527,60
4,2,106137,20
4,2,102502,55
4,2,95056,75
4,2,97234,57
4,2,94406,40
4,2,92299,96
4,2,93489,59
4,2,108806,18
4,2,96557,56
4,2,94141,69
4,2,98884,31
4,2,102994,23
4,2,100556,53
4,2,98560,29
4,2,93967,28
4,2,103626,20
4,2,111239,45
4,3,109268,250
4,3,109516,377
4,3,110275,429
4,3,97142,624
4,3,100076,344
4,3,102795,97
4,3,105875,196
4,3,106668,385
4,3,99448,609
4,3,93370,42
4,3,96097,555
4,3,120288,87
4,3,96494,689
4,3,99392,146
4,3,102358,512
4,3,96259,816
4,3,96783,84
4,3,103376,170
4,3,100729,100
4,3,95343,536
4,3,132953,73
4,3,111174,48
4,3,110523,607
4,3,105758,324
4,3,95817,219
4,3,97456,412
4,3,94821,75
4,3,98928,412
4,3,105557,669
4,3,107579,342
4,3,101098,265
4,3,98300,540
4,3,110273,271
4,3,98053,391
4,3,97516,676
4,3,101767,406
4,3,101210,392
4,3,102445,376
4,3,92195,145
4,3,94018,519
4,3,91843,446
4,3,90938,257
4,3,90995,134
4,3,91365,403
4,3,90460,369
4,3,90258,299
4,3,90506,320
4,3,90601,598
4,3,93425,49
4,3,91073,590
4,3,90057,348
4,3,90337,36
4,3,90731,646
4,3,91324,360
4,3,90823,217
4,3,89847,707
4,3,90680,190
4,3,89996,291
4,3,90271,345
4,3,90840,464
4,3,99045,269
4,3,105385,441
4,3,101124,406
4,3,95213,650
4,3,92495,350
4,3,91574,69
4,3,90887,179
4,3,90930,69
4,3,91336,232
4,3,90113,291
4,3,91530,314
4,3,91958,351
4,3,95065,650
4,3,105058,361
4,3,104310,60
4,3,102379,628
4,3,93739,602
4,3,90757,437
4,3,92053,54
4,3,93651,798
4,3,93551,522
4,3,98619,301
4,3,101770,570
4,3,101051,181
4,3,102747,419
4,3,105041,732
4,3,99453,892
4,3,96160,104
4,3,94596,426
4,3,93975,73
4,3,91417,619
4,3,90859,157
4,3,92063,71
4,3,95963,222
4,3,100779,702
4,3,102862,362
4,3,105420,790
4,3,103613,390
4,3,104404,597
4,3,103973,48
5,1,130534,16
5,1,115589,23
5,1,114576,17
5,1,121192,19
5,1,129277,20
5,1,124990,19
5,1,113632,17
5,1,113564,20
5,1,117424,18
5,1,115061,20
5,1,116030,21
5,1,116248,19
5,1,115854,19
5,1,114915,19
5,1,135894,19
5,1,124916,36
5,1,128248,23
5,1,118863,20
5,1,117149,19
5,1,114433,18
5,1,117767,23
5,1,114273,21
5,1,113329,17
5,1,114681,21
5,1,114031,19
5,1,114126,17
5,1,113912,20
5,1,114351,15
5,1,114750,18
5,1,114159,18
5,1,113457,14
5,1,113854,16
5,1,114079,15
5,1,116678,19
5,1,114181,21
5,1,113950,21
5,1,113135,18
5,1,113338,11
5,1,114209,16
