group,pk,sk,exchange,attack,guesses,cardinality
Quaternion,1,1,525.433,0.009,2,8
Quaternion,1,1,19.478,0.007,2,8
Quaternion,1,1,18.684,0.007,2,8
Quaternion,1,1,15.359,0.005,2,8
Quaternion,1,1,17.843,0.005,2,8
Quaternion,1,1,17.961,0.005,2,8
Quaternion,1,1,18.282,0.005,2,8
Quaternion,1,1,19.162,0.007,2,8
Quaternion,1,1,18.434,0.005,2,8
Quaternion,1,1,18.379,0.005,2,8
Quaternion,1,1,17.951,0.006,2,8
Quaternion,1,1,18.115,0.006,2,8
Quaternion,1,1,17.72,0.005,2,8
Quaternion,1,1,15.949,0.007,2,8
Quaternion,1,1,18.661,0.007,2,8
Quaternion,1,1,18.355,0.005,2,8
Quaternion,1,1,15.235,0.005,2,8
Quaternion,1,1,17.773,0.005,2,8
Quaternion,1,1,17.77,0.005,2,8
Quaternion,1,1,19.075,0.007,2,8
Quaternion,1,1,18.399,0.007,2,8
Quaternion,1,1,17.834,0.006,2,8
Quaternion,1,1,17.73,0.005,2,8
Quaternion,1,1,17.876,0.005,2,8
Quaternion,1,1,17.852,0.005,2,8
Quaternion,1,2,16.285,0.007,2,8
Quaternion,1,2,18.059,0.006,2,8
Quaternion,1,2,17.967,0.006,2,8
Quaternion,1,2,17.719,0.006,2,8
Quaternion,1,2,17.88,0.005,2,8
Quaternion,1,2,17.779,0.006,2,8
Quaternion,1,2,18.726,0.007,2,8
Quaternion,1,2,15.542,0.006,2,8
Quaternion,1,2,17.953,0.005,2,8
Quaternion,1,2,15.025,0.005,2,8
Quaternion,1,2,17.641,0.005,2,8
Quaternion,1,2,17.714,0.005,2,8
Quaternion,1,2,18.942,0.008,2,8
Quaternion,1,2,18.3,0.006,2,8
Quaternion,1,2,15.181,0.005,2,8
Quaternion,1,2,17.769,0.006,2,8
Quaternion,1,2,17.93,0.006,2,8
Quaternion,1,2,17.9,0.005,2,8
Quaternion,1,2,13.325,0.007,2,8
Quaternion,1,2,15.537,0.006,2,8
Quaternion,1,2,15.315,0.006,2,8
Quaternion,1,2,17.938,0.005,2,8
Quaternion,1,2,17.795,0.006,2,8
Quaternion,1,2,18.083,0.006,2,8
Quaternion,1,2,15.018,0.005,2,8
Quaternion,1,3,19.059,0.008,2,8
Quaternion,1,3,18.493,0.008,2,8
Quaternion,1,3,17.894,0.006,2,8
Quaternion,1,3,17.812,0.005,2,8
Quaternion,1,3,15.144,0.005,2,8
Quaternion,1,3,17.742,0.005,2,8
