group,pk,sk,exchange,attack,guesses,cardinality
S16,2,6,709.454,1.133,921,20922789888000
S16,2,6,70.955,4.903,4089,20922789888000
S16,2,6,67.612,0.279,219,20922789888000
S16,2,6,73.346,1.265,1050,20922789888000
S16,2,6,71.954,0.291,239,20922789888000
S16,2,6,72.546,1.133,930,20922789888000
S16,2,6,70.833,1.102,923,20922789888000
S16,2,6,72.169,0.793,634,20922789888000
S16,2,6,72.028,2.26,1876,20922789888000
S16,2,6,71.616,0.112,87,20922789888000
S16,2,6,73.161,0.116,85,20922789888000
S16,2,6,73.214,0.906,739,20922789888000
S16,2,6,73.107,0.422,346,20922789888000
S16,2,6,73.063,0.266,215,20922789888000
S16,2,6,72.262,1.046,877,20922789888000
S16,2,6,71.93,0.261,213,20922789888000
S16,2,6,72.204,0.895,752,20922789888000
S16,2,6,71.426,4.13,3479,20922789888000
S16,2,6,68.419,1.505,1272,20922789888000
S16,2,6,71.695,1.731,1433,20922789888000
S16,8,2,288.724,0.158,180,20922789888000
S16,8,2,289.624,0.173,208,20922789888000
S16,8,2,290.688,0.072,70,20922789888000
S16,8,2,290.697,0.157,191,20922789888000
S16,8,2,290.625,0.274,351,20922789888000
S16,8,2,291.098,0.269,339,20922789888000
S16,8,2,292.229,0.205,252,20922789888000
S16,8,2,290.267,0.222,275,20922789888000
S16,8,2,290.295,0.141,164,20922789888000
S16,8,2,289.409,0.321,410,20922789888000
S16,8,2,296.809,0.162,188,20922789888000
S16,8,2,297.178,0.127,146,20922789888000
S16,8,2,295.185,0.221,269,20922789888000
S16,8,2,294.229,0.273,345,20922789888000
S16,8,2,296.648,0.206,263,20922789888000
S16,8,2,293.75,0.232,288,20922789888000
S16,8,2,292.138,0.205,252,20922789888000
S16,8,2,292.527,0.194,241,20922789888000
S16,8,2,294.368,0.368,469,20922789888000
S16,8,2,290.283,0.237,298,20922789888000
S16,2,6,665.473,1.529,1302,20922789888000
S16,2,6,49.961,0.946,769,20922789888000
S16,2,6,46.992,2.225,1916,20922789888000
S16,2,6,48.903,3.894,3291,20922789888000
S16,2,6,47.62,1.747,1456,20922789888000
S16,2,6,49.721,0.894,757,20922789888000
S16,2,6,48.599,0.862,729,20922789888000
S16,2,6,50.428,2.726,2206,20922789888000
S16,2,6,49.089,4.13,3357,20922789888000
S16,2,6,49.882,0.917,753,20922789888000
S16,2,6,48.272,1.104,927,20922789888000
S16,2,6,48.866,2.128,1829,20922789888000
S16,2,6,47.548,3.234,2694,20922789888000
S16,2,6,49.144,1.747,1433,20922789888000
S16,2,6,47.928,0.911,767,20922789888000
S16,2,6,49.057,1.629,1332,20922789888000
S16,2,6,48.706,1.598,1343,20922789888000
S16,2,6,48.657,0.71,580,20922789888000
S16,2,6,47.4,1.11,940,20922789888000
S16,2,6,47.391,1.21,1025,20922789888000
S16,8,2,193.68,0.214,271,20922789888000
S16,8,2,190.408,0.114,131,20922789888000
S16,8,2,192.576,0.27,352,20922789888000
S16,8,2,189.427,0.118,134,20922789888000
S16,8,2,188.528,0.276,356,20922789888000
S16,8,2,188.614,0.137,163,20922789888000
S16,8,2,191.975,0.219,278,20922789888000
S16,8,2,190.826,0.237,306,20922789888000
S16,8,2,191.367,0.293,369,20922789888000
S16,8,2,191.886,0.179,223,20922789888000
S16,8,2,187.444,0.207,260,20922789888000
S16,8,2,188.814,0.223,281,20922789888000
S16,8,2,188.39,0.245,313,20922789888000
S16,8,2,188.085,0.202,255,20922789888000
S16,8,2,187.334,0.193,245,20922789888000
S16,8,2,187.679,0.313,417,20922789888000
S16,8,2,188.412,0.272,352,20922789888000
S16,8,2,190.506,0.204,262,20922789888000
S16,8,2,188.068,0.157,182,20922789888000
S16,8,2,188.705,0.242,310,20922789888000
